Algorithm,DataSet,FeatureCount,RMSEByRating,RMSEByUser,nDCG,TopNnDCG
SVDUserMean,FullData,1,0.9019583142,0.8260209946,0.9607500566,0.3753703914
SVDUserMean,FullData,10,0.8431105148,0.770383949,0.969505762,0.44719683559999995
SVDUserMean,FullData,15,0.8381793378000001,0.7658124766000001,0.9703045530000001,0.45252995780000005
SVDUserMean,FullData,20,0.8441174978000001,0.7707164219999999,0.9692282088,0.446656485
SVDUserMean,FullData,25,0.8500624214,0.7763584154,0.9683458264,0.4414825222
SVDUserMean,FullData,30,0.8559839318,0.7810427908,0.9675163656000001,0.435733032
SVDUserMean,FullData,40,0.8691193537999998,0.7933919024,0.9654639514,0.42064514280000004
SVDUserMean,FullData,5,0.8593213086,0.7853271008000001,0.9679186304,0.43307146439999994
SVDUserMean,FullData,50,0.8804934216000001,0.805507214,0.9633096816,0.4034358946
SVDUserMean,PartialData,1,0.936245242,0.8595925806,0.9596501143999999,0.1462438068
SVDUserMean,PartialData,10,0.9128109098000001,0.836887458,0.9615513375999999,0.16267505840000002
SVDUserMean,PartialData,15,0.9155158950000001,0.8388816432,0.9609910084000001,0.1618986248
SVDUserMean,PartialData,20,0.9185813961999999,0.8414463010000001,0.9598735662,0.15982360079999997
SVDUserMean,PartialData,25,0.9237028200000001,0.846660359,0.9581228144,0.15717679999999998
SVDUserMean,PartialData,30,0.9285587555999999,0.8512314061999999,0.95731467,0.1532904826
SVDUserMean,PartialData,40,0.9389917392000001,0.8613341666000001,0.9540099574,0.14218912079999999
SVDUserMean,PartialData,5,0.9162159228,0.8405652160000001,0.9633201824000001,0.1585694704
SVDUserMean,PartialData,50,0.9475885073999999,0.869840381,0.9523137344,0.1337055364
