Algorithm,DataSet,FeatureCount,RMSE.ByRating,RMSE.ByUser,nDCG,TopN.nDCG
SVDItemMean,FullData,40,0.89015774,0.816590293,0.968906883,0.43072363
SVDGlobalMean,FullData,50,0.934085129,0.860740344,0.963204946,0.417836729
SVDPersMean,FullData,40,0.851659007,0.773399806,0.969795027,0.415539622
PersMean,PartialData,,0.920734,0.840006283,0.959509113,0.147442562
ItemItem,PartialData,,0.902974646,0.82057963,0.948774184,0.118003893
SVDUserMean,FullData,50,0.891052904,0.812911095,0.962679734,0.395752194
SVDItemMean,FullData,50,0.900282107,0.827598603,0.968274522,0.423366085
SVDPersMean,FullData,50,0.854881778,0.777982356,0.968605197,0.412929333
SVDGlobalMean,PartialData,1,0.996897324,0.932863589,0.946199847,0.112053263
SVDUserMean,PartialData,1,0.940671807,0.863684275,0.958616132,0.145840143
SVDItemMean,PartialData,1,0.94233362,0.870422244,0.959781915,0.149737663
SVDPersMean,PartialData,1,0.904394575,0.825336513,0.961625941,0.151815779
SVDGlobalMean,PartialData,5,0.945251533,0.877225432,0.961695791,0.166229135
SVDUserMean,PartialData,5,0.922676766,0.846266746,0.962285395,0.160664749
SVDItemMean,PartialData,5,0.9175087,0.846637805,0.963188052,0.156505379
SVDPersMean,PartialData,5,0.891065849,0.812570948,0.963984145,0.159117164
SVDGlobalMean,PartialData,10,0.944650467,0.876312007,0.959912014,0.174056269
SVDItemMean,PartialData,10,0.909030084,0.838069369,0.964639503,0.162140511
SVDUserMean,PartialData,10,0.917932062,0.841784775,0.960839122,0.162012532
SVDPersMean,PartialData,10,0.880546073,0.803102277,0.964792993,0.16347687
SVDGlobalMean,PartialData,15,0.948898119,0.879994315,0.959844094,0.166402228
SVDItemMean,PartialData,15,0.908687472,0.838055157,0.965707686,0.163412238
SVDPersMean,PartialData,15,0.880537918,0.802059467,0.965230796,0.161008047
SVDUserMean,PartialData,15,0.919701754,0.843447816,0.961018151,0.157230326
SVDGlobalMean,PartialData,20,0.958452942,0.886414568,0.958441143,0.165713546
SVDItemMean,PartialData,20,0.91825793,0.845068782,0.964469388,0.162141049
SVDUserMean,PartialData,20,0.925717255,0.847153382,0.959918507,0.157716904
SVDPersMean,PartialData,20,0.884020342,0.805063113,0.96473665,0.157898987
SVDGlobalMean,PartialData,25,0.964396521,0.892269186,0.957098106,0.164963811
SVDItemMean,PartialData,25,0.927064817,0.852492185,0.964686515,0.163536704
SVDUserMean,PartialData,25,0.928393931,0.850326254,0.958091486,0.153487221
SVDPersMean,PartialData,25,0.888369495,0.808514719,0.964988871,0.158409863
SVDGlobalMean,PartialData,30,0.971940018,0.900494361,0.954323624,0.157868739
SVDItemMean,PartialData,30,0.931148422,0.856647584,0.965091326,0.158881316
